Time,PacketID,NodeID,EventType,Size,PacketType,PacketState,Comment
20,0,0,1,76,NC,BEGIN,transmit
20.0103,0,1,2,76,NC,BEGIN,receive
20.0103,1,1,1,75,NC,UPDATE,transmit
20.0206,1,0,2,75,NC,UPDATE,receive
20.0206,2,0,1,72,NC,UPDATE,transmit
20.0308,2,1,2,72,NC,UPDATE,receive
20.0308,3,1,1,72,NC,UPDATE,transmit
20.0411,3,0,2,72,NC,UPDATE,receive
20.0411,4,0,1,73,NC,UPDATE,transmit
20.0514,4,1,2,73,NC,UPDATE,receive
20.0514,5,1,1,75,NC,UPDATE,transmit
20.0617,5,0,2,75,NC,UPDATE,receive
20.0617,6,0,1,71,NC,UPDATE,transmit
20.0719,6,1,2,71,NC,UPDATE,receive
20.0719,7,1,1,74,NC,UPDATE,transmit
20.0822,7,0,2,74,NC,UPDATE,receive
20.0822,8,0,1,75,NC,UPDATE,transmit
20.0925,8,1,2,75,NC,UPDATE,receive
20.0925,9,1,1,73,NC,UPDATE,transmit
20.1028,9,0,2,73,NC,UPDATE,receive
20.1028,10,0,1,73,NC,UPDATE,transmit
20.113,10,1,2,73,NC,UPDATE,receive
20.113,11,1,1,72,NC,UPDATE,transmit
20.1233,11,0,2,72,NC,UPDATE,receive
20.1233,12,0,1,75,NC,UPDATE,transmit
20.1336,12,1,2,75,NC,UPDATE,receive
20.1336,13,1,1,76,NC,UPDATE,transmit
20.1439,13,0,2,76,NC,UPDATE,receive
20.1439,14,0,1,75,NC,UPDATE,transmit
20.1542,14,1,2,75,NC,UPDATE,receive
20.1542,15,1,1,69,NC,UPDATE,transmit
20.1644,15,0,2,69,NC,UPDATE,receive
20.1644,16,0,1,71,NC,UPDATE,transmit
20.1747,16,1,2,71,NC,UPDATE,receive
20.1747,17,1,1,78,NC,UPDATE,transmit
20.185,17,0,2,78,NC,UPDATE,receive
20.185,18,0,1,76,NC,UPDATE,transmit
20.1953,18,1,2,76,NC,UPDATE,receive
20.1953,19,1,1,78,NC,UPDATE,transmit
20.2055,19,0,2,78,NC,UPDATE,receive
20.2055,20,0,1,80,NC,UPDATE,transmit
20.2158,20,1,2,80,NC,UPDATE,receive
20.2158,21,1,1,76,NC,UPDATE,transmit
20.2261,21,0,2,76,NC,UPDATE,receive
20.2261,22,0,1,73,NC,UPDATE,transmit
20.2364,22,1,2,73,NC,UPDATE,receive
20.2364,23,1,1,71,NC,UPDATE,transmit
20.2467,23,0,2,71,NC,UPDATE,receive
20.2467,24,0,1,77,NC,UPDATE,transmit
20.2569,24,1,2,77,NC,UPDATE,receive
20.2569,25,1,1,73,NC,UPDATE,transmit
20.2672,25,0,2,73,NC,UPDATE,receive
20.2672,26,0,1,70,NC,UPDATE,transmit
20.2775,26,1,2,70,NC,UPDATE,receive
20.2775,27,1,1,75,NC,UPDATE,transmit
20.2878,27,0,2,75,NC,UPDATE,receive
20.2878,28,0,1,75,NC,UPDATE,transmit
20.2981,28,1,2,75,NC,UPDATE,receive
20.2981,29,1,1,74,NC,UPDATE,transmit
20.3083,29,0,2,74,NC,UPDATE,receive
20.3083,30,0,1,74,NC,UPDATE,transmit
20.3186,30,1,2,74,NC,UPDATE,receive
20.3186,31,1,1,76,NC,UPDATE,transmit
20.3289,31,0,2,76,NC,UPDATE,receive
20.3289,32,0,1,71,NC,UPDATE,transmit
20.3392,32,1,2,71,NC,UPDATE,receive
20.3392,33,1,1,73,NC,UPDATE,transmit
20.3494,33,0,2,73,NC,UPDATE,receive
20.3494,34,0,1,76,NC,UPDATE,transmit
20.3597,34,1,2,76,NC,UPDATE,receive
20.3597,35,1,1,72,NC,UPDATE,transmit
20.37,35,0,2,72,NC,UPDATE,receive
20.37,36,0,1,70,NC,UPDATE,transmit
20.3803,36,1,2,70,NC,UPDATE,receive
20.3803,37,1,1,76,NC,UPDATE,transmit
20.3905,37,0,2,76,NC,UPDATE,receive
20.3905,38,0,1,75,NC,UPDATE,transmit
20.4008,38,1,2,75,NC,UPDATE,receive
20.4008,39,1,1,71,NC,UPDATE,transmit
20.4111,39,0,2,71,NC,UPDATE,receive
20.4111,40,0,1,73,NC,UPDATE,transmit
20.4214,40,1,2,73,NC,UPDATE,receive
20.4214,41,1,1,70,NC,UPDATE,transmit
20.4316,41,0,2,70,NC,UPDATE,receive
20.4316,42,0,1,75,NC,UPDATE,transmit
20.4419,42,1,2,75,NC,UPDATE,receive
20.4419,43,1,1,67,NC,UPDATE,transmit
20.4522,43,0,2,67,NC,UPDATE,receive
20.4522,44,0,1,71,NC,UPDATE,transmit
